2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb8915a9-60bd-48fc-a695-e328b6946652, number=34405, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201110/34405.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb89d063-a8ef-4242-be33-fd93238ac7f5, number=461436, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/xiezhen/61336.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb8a4503-cc43-47ab-860b-dedd0b5ec4cc, number=21405, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201202/21405.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb8d5992-2f13-4575-a8a0-282b48990db3, number=83770, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201210/83770.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb916e9a-d6e7-4181-b5d1-0e495a315ed9, number=5524, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/lunli2/8524.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb9250d3-10f5-41a0-977b-ca4fbfc9ba61, number=35576, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201200/35576.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb92a1aa-d72b-43b5-ac24-b255270a8ea1, number=49025, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201200/49025.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb958c86-4016-47b9-874e-27ed0d4062f3, number=28860, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201111/28860.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb994a4c-46cc-4c8a-94e7-129f401ab09d, number=9262, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/lunli/9262.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fba8bc0b-988b-4d7a-8d8d-18789d036fdd, number=83042, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201206/83042.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbaf008b-d1a6-4bd0-bdc1-4eb5e73005b0, number=19776, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201202/19776.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbb32b1d-59ae-4e5b-a6ad-390c4bb9abb9, number=15653, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201109/15653.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbb5fd6c-c433-4562-a2ba-309593bd32fc, number=19792, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201202/19792.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fbb6b35c-595d-4632-ac67-94296ade969d, number=84102, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201211/13769.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
